Unnamed: 0,QID,Brand,Model,Question,Dialogue,Report
10,Q5011,沃尔沃,沃尔沃S40,大师好，请问老款沃尔沃s40正时皮带断了，现在正时怎么对吗？,技师说：这款车需要曲轴转到一缸压缩上止点，凸轮轴 曲轴专用工具定位，在挂正时链条的时候，先把可变正时vvt固定螺丝松了，挂好链条，上好张紧器，然后再紧上螺丝，下面给您相关图片参考|技师说：[图片]|技师说：[图片]|技师说：如果顶气门的话，还需要抬缸盖。|技师说：最好专用工具定位|技师说：看上面图片|车主说：没有专用工具|车主说：没有顶气门|技师说：一样吗|车主说：？|技师说：图片一样吗|技师说：没有工具 只能照图片对|车主说：一样的|车主说：现在那个曲轴链轮全部拿下来了，没有做记号怎么对|技师说：那就好|车主说：？|技师说：链轮？不是皮带的吗？|车主说：不是皮带轮，是正时皮带的链轮|技师说：正时皮带 哪来的链轮！|技师说：看图片啊|技师说：图片发给您了 ，剩下的需要您自己对啦|车主说：曲轴皮带轮的里面那个正时轮|车主说：全掉了|车主说：拿下皮带轮的时候把里面那个轮子全拔下来了|技师说：您可以发几个图片吗|车主说：现在不在家|技师说：上面有标记 对好安装就行了|技师说：[图片]|技师说：[图片]|技师说：[图片]|技师说：[图片]|技师说：[图片]|技师说：[图片]|技师说：[图片]|技师说：这些您看看|车主说：一缸上死点怎么看|技师说：啊！火花塞拆下来 改锥塞进去 转曲轴|技师说：您是同行吗，没有这方面经验 最好找老师傅帮忙 避免出错|技师说：我现在出去一下，有问题留言，我看到后 会在第一时间回复您|技师说：最好看到发动机 再和您细说，这样说 您不会明白,这款车需要曲轴转到一缸压缩上止点凸轮轴位置标记对好机体12点方向的标记，曲轴标记差不多也在12点方向，下面给您相关图片参考
11,Q5012,大众,速腾,大众速腾315导航四维图新地图最新版本是哪一年的,技师说：现在是17年的，不建议你做升级，因为即使升级，导航还是不准。现在基本没有来店升级。|车主说：你哪里能升级吗,导航可以进行升级，（每个4s店都可以，大约4-600）
12,Q5013,丰田,皇冠,这是什么毛病？清除故障码了，又出来？,技师说：节气门位置传感器问题。建议你找专业的电脑做一下节气门初始化匹配。|车主说：太专业了吧！|技师说：不过这个故障确实需要匹配一下节气门|车主说：电脑上操作吗？|技师说：是的|车主说：现在开车不影响吧！|技师说：只要车辆发动机正常，提速没有问题，那就不影响车辆正常行驶。,节气门位置传感器问题。建议你找专业的电脑做一下节气门初始化匹配。
13,Q5014,大众,速腾,各位老师好，我的车是大众速腾15年280旗舰版的，高配，原车导航是RNS315，我比较喜欢导航上的罗盘仪功能，车启动后在仪表盘上显示东西南北方向，感到很方便，就是地图是四维图新的，升级太慢了，现在大众厂家四维图新地图最新版本是什么,技师说：15年的车可以进行导航地图升级。大约3-500左右，|车主说：最新地图版本是201606吗|车主说：请帮忙指教|技师说：升级就是订购一个内存卡。安装在你的车上导航上。具体的版本号也没注意。我们一年也不做一台车|车主说：看看是哪一年的版本，如何是17年的我要一个|技师说：你去4s店订购一个。|技师说：顺便看一下你导航系统的版本。|车主说：你哪里没有啊|技师说：我们不提供线下服务哦。|技师说：导航卡订购后，需要4s店帮你激活|技师说：每个4s店都可以进行升级|车主说：4S店说没有17年的版本|技师说：只有16年的？,原车导航升级需要到4s店购买升级卡。（最近年限）同时需要进行激活。
14,Q5015,别克,昂科威,我的车辆最近出现感应不到钥匙，更换了电子也是感应不到。到底哪里出错了？,技师说：你好，你这种情况考虑是车辆的遥控器输出信号不稳定造成的，这种故障表现，，需要去专门配汽车钥匙的地方重新做一下车辆遥控器的匹配。|车主说：两把钥匙都没有用感觉是失灵的状况。|车主说：备用钥匙经常放家里的|车主说：去了4s店检测了，检测不出任何毛病|车主说：这个情况怎么处理？大师|技师说：匹配了吗？|车主说：大师方便给一下您的号码吗，|技师说：不好意思，汽车大师平台不允许我们留联系方式，还请见谅|车主说：我已经让配钥匙师傅弄过了，|车主说：可是师傅说的是什么数据丢失了。|车主说：你看这个怎么处理|技师说：什么数据丢失？|技师说：估计是钥匙编码吧？普通的外面的配钥匙的配不了，需要去4s|车主说：反正现在车的智能系统已经不管用了|车主说：都是用的应急启动车辆|技师说：4s维修人员没有检查出问题？|车主说：是的|技师说：这种情况，遥控器钥匙，防盗控制模块，线路，都有影响|车主说：那咋办|技师说：这种故障，我只是给你大概分析。具体排查还需要找专业的维修人员帮你排查。用电脑读取一下防盗系统的数据流判断|车主说：可是4s也查不出所以然来，我还能到哪里去查|技师说：当地还有没有另一家4s或者是别克专修？？|车主说：五家4s都去过了|车主说：还能怎么办？|技师说：车辆还在不在质保期内？|车主说：在的|技师说：这个好办，直接找当地的电台，媒体，要求4s向厂家反馈故障，厂家可以下派技术员|车主说：这个是不是有点夸张|技师说：不夸张了，我之前就遇到过，一个奥迪|车主说：连我都觉得这个比较难办|技师说：估计还是4s不愿给你维修，敷衍你,你好，你这种情况考虑是车辆的遥控器输出信号不稳定造成的，这种故障表现，，需要去专门配汽车钥匙的地方重新做一下车辆遥控器的匹配。
15,Q5016,日产,轩逸,日产轩逸报故障，左前预张紧器2开路,技师说：这个是车辆驾驶室位置的安全带底座这一块有问题造成的故障，车辆出过事故以后，安全带底座位置需要进行修复的。|车主说：修复之后出现的故障|技师说：那还是没修复好。|车主说：[语音]|车主说：右前修了|车主说：左前没修|技师说：左前也需要修复的|车主说：[语音]|车主说：[语音]|技师说：是的，修复就可以解决问题|车主说：[语音]|技师说：你可以关注我，以后有问题可以一对一咨询我|车主说：[语音]|技师说：哈哈??。,这个是车辆驾驶室位置的安全带底座这一块有问题造成的故障，车辆出过事故以后，安全带底座位置需要进行修复的。
16,Q5017,大众,高尔夫,高尔夫6七速自动挡，在挂入手动模式行驶一段路后。再次切换为自动模式D档时，会出现熄火系现象，尤其是低速转弯和1-2档的时候。然后松开油门在轻踩时可行驶，但电脑显示屏会出现手动1档（此时是D档位）。,技师说：7速双离合器变速箱吗？|车主说：对|车主说：您好|技师说：有可能机电单元或者档位开关有问题，需要到4s店检查确认一下|车主说：好的，谢谢您。,根据你的描述，以及沟通情况，有可能是档位开关的问题，需要用电脑检查一下变速箱系统有没有故障代码。
17,Q5018,别克,英朗,导航的sd卡怎么拿下来啊。我是2016别克英朗15N自动豪华型车,技师说：你好，你这款车是原装的导航还是后改装的导航一体机？|车主说：是在我屏幕上装的导航|车主说：不是原装的|技师说：导航上的卡在后面的导航模块里面，需要拆下来|车主说：回去问装的人的话太远了|车主说：怎么拆下来，在哪啊|技师说：[图片]|技师说：导航一体机拆卸后，在后面|车主说：好的，谢谢,导航上的卡在后面的导航模块里面，需要拆下来
18,Q5019,力帆汽车,力帆520,吉利全球鹰蚝油，不知道什么，差不多合八毛一公里，,技师说：你好，这种情况一般是车辆发动机积碳问题或者是火花塞间隙量过大造成的，这种油耗增高的现象，建议你去修理厂检查下火花塞的间隙量，清洗一下进气道积碳和三元催化器。|车主说：这些不懂|车主说：大概要多少钱|技师说：更换新的火花塞，清洗进气道积碳，三元催化器 全部下来大概在300之内。|车主说：好谢谢了,你好，这种情况一般是车辆发动机积碳问题或者是火花塞间隙量过大造成的，这种油耗增高的现象，建议你去修理厂检查下火花塞的间隙量，清洗一下进气道积碳和三元催化器。
19,Q5020,斯柯达,晶锐,11款晶锐，主驾玻璃升降开关，按有时候按上结果玻璃降，有时候按一下没反应，升副驾驶的玻璃，一键升到顶后有又自动降一点。副驾驶玻璃升降开关也偶尔没用，反正各种抓狂，按键不能每次正确执行指令。请问是什么原因，有可能是行车电脑故障吗，还是更换按键就能解决？,技师说：你好车主，根据你的描述，不是行车电脑的问题，有可能玻璃升降器开关（左前门）不好或者玻璃导槽有脏东西，或者车门铰链线路接触不良|车主说：行车电脑故障有导致这个问题的可能性吗？|技师说：可能性很小|车主说：好的，那我先换开关试试看吧,根据你的描述，建议先清洗一下玻璃导槽，如果不行，需要更换玻璃升降器。
20,Q5021,奥迪,奥迪Q5,我的车，驾驶位置的窗户摇不下来了，按了按钮没反应，突然这样，不知道为什么？其他三个窗户都好好的,技师说：你好，先检查一下车辆仪表台左侧的保险盒里面的保险丝是不是有问题？这种故障用电脑可以调取一下相关的故障码进行分析。|技师说：[图片]|车主说：这个我自己能看吗？还是得找修理厂？|技师说：[图片]|技师说：可以自己看，把这个板撬开，|技师说：[图片]|技师说：39号看下。|车主说：[图片]|车主说：看了我能干嘛呢？??|技师说：那就去修理厂检查一下吧,你好，先检查一下车辆仪表台左侧的保险盒里面的保险丝是不是有问题？这种故障用电脑可以调取一下相关的故障码进行分析。
21,Q5022,英菲尼迪,英菲尼迪G系,我车买的是二手的，仪表盘有几个灯泡坏了，我车原来公里数是6万多公里。就暂时换一个仪表盘，装上去我的车公里数显示14万公里。这有没可能是车原来的公里数？,技师说：你好，你这种情况确实有可能是车辆仪表盘用专用的电脑调过公里数，车辆仪表盘拆卸以后，重新恢复程序，里面的公里数就显示出来了。|车主说：因为暂时给我换的仪表盘，我看是好像车拆出来的|车主说：我之前那个仪表盘他说拿去帮我修回，但是换回上去|技师说：这个不是你车辆原来的公里数，这是更换仪表盘里面记忆的公里数。|技师说：你这种情况是属于正常现象，没有任何问题。|车主说：所以我车应该是没改过公里数？|车主说：因为我原来那个仪表盘才6万公里，怎么换了一个变成14万公里觉得有点不对劲|技师说：没问题的，放心吧！|车主说：就是每个仪表盘都有记录的公里数每一个不一样？|技师说：是的，没错,这个不是你车辆原来的公里数，这是更换仪表盘里面记忆的公里数。你这种情况是属于正常现象，没有任何问题。
22,Q5023,大众,帕萨特,对正时的大众，车子着热了一直报4缸不发火怎么回事,技师说：点火线圈互换一下，测量一下汽缸压力|车主说：缸压6.5个|车主说：点火线圈互换了，还是报4缸|技师说：缸压低了|技师说：其他的也这么低？|车主说：其他在10左右|技师说：这车做过什么维修？|车主说：加速到2000转故障灯就不闪了，转速上去之后不像缺缸的样啊|车主说：怠速故障灯就闪|技师说：转速高了，根本看不出来|车主说：就是我前天问你可变正时的车|车主说：凉车就很稳|车主说：着一会就不行了|技师说：缸压低|技师说：检查液压挺住，以及气门|车主说：我缸筒打机油比之前好了点|技师说：这个问题需要拆缸盖|车主说：这发动机有没有往缸筒里面喷机油的喷嘴|技师说：有|车主说：我怀疑是不是它堵了|技师说：不是,根据你的描述以及沟通情况，如果缸压低，需要拆缸盖，检查气门，以及活塞环。
23,Q5024,雪铁龙,雪铁龙C5,你好！问一下，雪铁龙C5车，10款2.3换变速箱油用什么机油，用多少升,技师说：你好，重力更换需要4L  循环机更换一次需要12L|技师说：自动变速箱油，美孚，道达尔都可以|车主说：大概需要多钱|车主说：美孚跟道达尔那个能好点|车主说：重力加好，还是循环加好|技师说：两种油差不多??，都可以。循环机更换的话更换得更加彻底，|车主说：油用什么型号的？|技师说：自动变速箱油 ATF油。|技师说：道达尔的MV LV就可以|车主说：有的说怎么用AMT的油|车主说：美孚用的用什么型号的油|技师说：ATF220,你好，重力更换需要4L  循环机更换一次需要12L
24,Q5025,奔驰,奔驰E级,1喇叭单声道 2左右大灯之前一直闪 之后右大灯不亮了 左灯还闪 3后牌照灯报警 4雷达右前一直报警 5空调中间转速时有哒哒声 6esp报警 定速巡航限速等不能使 基本除了喇叭和空调以外的问题全是和电有关系 上次原厂小电瓶坏了的时候也差不多是这些问题 我怀疑是差不多两年前换的小电瓶质量不行引起的这些问题,技师说：有电瓶测试仪吗，可以测量一下电瓶。|车主说：有两块电瓶，一大一小，大的着车14v 左右，小的12.多，正常吗|技师说：电瓶需要使用电瓶测试仪进行检查，万用表不准的|技师说：只是一个参考值|车主说：正常值是多少|技师说：正常不低于12V|车主说：如果不低于十二v电瓶就没事呗|车主说：用电脑读的数据流电压正常|技师说：用电瓶测试仪测量电压以及电流,根据你的描述，以及之前维修情况，需要用电瓶测试仪检查电瓶，，必要时进行更换。
25,Q5026,雪铁龙,爱丽舍,9万公里的车 9年车龄 冷车可以启动 热车无法启动 马达哒一下后不转了然后无反应 电瓶不亏电,技师说：你好，这种故障原因，首先检查一下车辆钥匙门的点火启动电源线是不是有输出？如果确定没有问题的话，排除车辆钥匙门的问题，重点检查一下启动继电器和启动机是否有问题。用万用表检测一下启动电源线在启动的瞬间的电压值是多少？|车主说：车子并不亏电 冷车瞬间就启动 只有热车不反应 试过3次了|车主说：有没有可能是瓦拉了|技师说：可能性不大|技师说：检测一下相关的线路再说,你好，这种故障原因，首先检查一下车辆钥匙门的点火启动电源线是不是有输出？如果确定没有问题的话，排除车辆钥匙门的问题，重点检查一下启动继电器和启动机是否有问题。用万用表检测一下启动电源线在启动的瞬间的电压值是多少？
26,Q5027,奥迪,奥迪A4L,液压助力       时有时无,技师说：您好，这种情况首先需要检查一下助力油是否亏损，确定助力油不亏损的情况下，有可能是助力泵有问题，造成的，这种故障表现。|车主说：助力泵是什么问题|技师说：是通过皮带转动，给车辆助力系统提供动力的时候，也就是说，车辆启动以后，方向会比较轻。|车主说：如果是助力泵的话    为什么时有时无呢|技师说：你是哪款车型？确定是液压助力转向吗？|车主说：是的    A4L|车主说：老款|技师说：助力泵如果内部磨损，就会有类似故障|车主说：会有其它问题吗|车主说：时重时轻|技师说：助力泵，转向机，都有可能,您好，这种情况首先需要检查一下助力油是否亏损，确定助力油不亏损的情况下，有可能是助力泵有问题，造成的，这种故障表现。
27,Q5028,奥迪,奥迪A8,07h款  A8 4.2  拆卸过发电机，装上后烧皮带。什么原因？,技师说：你好朋友，其他的地方没动过，需要考虑两方面的原因，一个是发电机皮带轮皮带槽太细，另外就是发电机皮带轮跟其他的轮不在一条直线上，可以跟旧的发电机对比一下。|车主说：怠速时候吱吱响，转速1000以上就没声音了。今天断了以后我看了下，皮带曹磨平了。|技师说：发电机质量不好|车主说：有啥办法解决吗？声音是皮带打出来的。发电机没噪音啊。|技师说：换过皮带？|车主说：皮带新的，跑100公里才|技师说：副厂皮带弹性差，就容易出现异响|车主说：修车场，又骗我|车主说：这个问题，有换发电机的必要吗|技师说：4s店一根皮带600多。|技师说：你去4s店确认一下|车主说：好，谢谢。|车主说：哦对了有个很重要的问题，这车发电机皮带跟水箱是一根吗？没皮带长时间开没事吧？|技师说：不行的|技师说：水温高,根据你的描述，这是发电机皮带轮凹槽与皮带不匹配，建议更换原厂发电机。
28,Q5029,菲亚特,菲翔,菲亚特费翔油门重，五年了.5万公里，加速慢，相对以前，油门比以前重很多,技师说：出现这种情况，建议清洗节气门，喷油嘴。同时更换火花塞。|车主说：清洗加换火花塞没有半年|技师说：其他的不会有问题，,根据目前车辆行驶里程首先需要清洗节气门，喷油嘴，同时需要更换火花塞。
29,Q5030,奥迪,奥迪A6L,倒车的时候不显示雷达影像，雷达也不工作，雷达控制模块是好的，保险丝也是好的。,技师说：你测量一下雷达探头线插，火线，搭铁是否正常|车主说：一个雷达探头不工作都会引起挂倒档屏幕不显示吗？老师|技师说：是的|车主说：我用手摸雷达探头全部都是好的|车主说：[图片]|技师说：摸摸就能知道雷达好坏？|技师说：厉害了|车主说：用手摸雷达，并把档位挂在倒档上，雷达全部都是工作的|车主说：雷达如果是坏的，不会有内似于电流的那种感觉|技师说：你换个蜂鸣器|车主说：蜂鸣器坏了也会影响到车没显示吗，老师。|技师说：你的车带前后雷达，还是只有后部。|车主说：只有后部|车主说：[图片]|车主说：连雷达按键都不带|技师说：05年的不是很复杂，蜂鸣器，一定要换。|技师说：最好测量一下雷达传感器的线路|车主说：好的|车主说：[图片]|车主说：这个控制面板不需要换吧，老师|技师说：先不要修这个地方，简单的方面排除一下|车主说：这个控制面板有时候会失灵，按键不起作用|技师说：如果你更换蜂鸣器不好，测量线路正常，可以考虑个控制面板,根据你的描述，以及沟通情况，检查先更换蜂鸣器，如果不行检查控制单元
30,Q5031,福特,福睿斯,福睿斯保险丝盒图解  中文版,技师说：你好福特技术总监为你解答|技师说：你是车主还是修理店|车主说：修理店|车主说：那个是起动继电器|技师说：车主手册上保险示意图的|技师说：你拍照我给你圈一个|车主说：手册不见了|车主说：你能给我中文版吗|技师说：我给你拍下吧|车主说：好的  谢谢了|技师说：[图片]|技师说：[图片]|技师说：拍了手册给你了，请问还有其他问题么|车主说：这款车怎么有时打不着呢  点火马达没反应|技师说：请关注我。你当前的问题已经解决。咨询其他问题欢迎发起一对一咨询|车主说：你给我讲一下咯  你发微信给我  资料费到时候直接给你发微信|技师说：平台有规定，不能加微信的。我也没办法|车主说：那你能给我解释一下我的问题吗|车主说：为什么老是打不着呢|技师说：马达没有可能性就是。线路。电脑，继电器。马达嗯|车主说：你能给我这个保险盒的中文吗|技师说：不是拍给你了,已经拍照给修理店
31,Q5032,福特,蒙迪欧-致胜,手刹灯和abs在行驶时有时会同时亮起是怎么回事,技师说：你好福特技术总监为你解答|技师说：手刹灯和abs一起点亮，一般是某个abs传感器有问题|车主说：手刹灯和ABs行驶时有时会同时亮起，但息火后有可能不亮，也有可能还亮！|技师说：你是车主还是修理店|技师说：一般是某一个轮胎的轮速传感器有问题|技师说：车主就去修理店或者4s检测一下故障码|技师说：才能确定故障的|车主说：传感器检查没问题两灯解不掉，第二天启动没有，开一两小时又会发现双灯又亮！|技师说：检测有故障码么|技师说：没有故障码是不会点亮故障灯的。|车主说：但第二天开绝对不亮！|技师说：嗯。这个abs灯故障点只有。abs泵，abs传感器，轴承。线路|车主说：就是开一会有可能亮！|技师说：你要去测的故障码才好进一步确定问题的|技师说：就比如发动机故障灯，猜不到什么问题的??|车主说：c142A什么地线！|技师说：哈。你是修理店还是车主|技师说：c142a 哪里知道的。问题怎么到这里来了|技师说：你好，你在检测还是在维修嗯|技师说：你在维修么,告知客户可能原因进行进一步的排除故障
32,Q5033,福特,蒙迪欧,我的车：福特蒙迪欧2.0经典性2004款、这几天早上、晚上下班、启动时、老是出现起步时熄火显现、怠速1500转、请问是什么原因？,技师说：你好福特技术总监为你解答|技师说：有没有测过故障码|车主说：测过，|车主说：说过没啥毛病、结果还是这样|技师说：没有故障码？|技师说：你在哪里用车|车主说：所以才找你们帮忙、找专业人士|技师说：没有检测到故障码？|车主说：没有|技师说：你在哪里用车呢|技师说：热了车在走么|车主说：上班下班啊|技师说：怠速一直1500转还是热车后会下来|车主说：这几天发现的问题今天下午下班的时候在路上再说我1500多万，发动车的时候起步一松手闸，车就要熄火突突的想|技师说：突突的熄火是供油不畅的|车主说：再送1500多万，怠速1500转走了有两公里吧，车热了就好了怠速|车主说：是的|车主说：怠速|车主说：转|技师说：氧传感器有问题，或者发动机有积碳的，或者油泵有问题|技师说：没有亮故障灯一般是有积碳或者油泵问题|车主说：怎么入手检查哪|技师说：测油压排除油泵嗯|技师说：拆进气岐管看有没有积碳|车主说：仪器上检查不出来嘛|技师说：对嗯|车主说：如果这两项排出、那还要检查啥|技师说：一样一样来检查嗯。|技师说：只有去维修才能一步一步的排除，也有好多不可预料的因素|车主说：好吧、明天去修理厂|技师说：好的，关注我，有问题继续咨询我,告知客户一步一步的解决方案
